time,msd
65950,4.09171
66000,4.08905
66050,4.09335
66100,4.10254
66150,4.10238
66200,4.09969
66250,4.09259
66300,4.08889
66350,4.09066
66400,4.08911
66450,4.09781
66500,4.1073
66550,4.10995
66600,4.11999
66650,4.13346
66700,4.1381
66750,4.14312
66800,4.13829
66850,4.12486
66900,4.11823
66950,4.10424
67000,4.09555
67050,4.09394
67100,4.10667
67150,4.14123
67200,4.16782
67250,4.18005
67300,4.17322
67350,4.15688
67400,4.14022
67450,4.11429
67500,4.08753
67550,4.07665
67600,4.07534
67650,4.08176
67700,4.10099
67750,4.11592
67800,4.1297
67850,4.13934
67900,4.1286
67950,4.11875
68000,4.11569
68050,4.11957
68100,4.12646
68150,4.13095
68200,4.13065
68250,4.13153
68300,4.13227
68350,4.11473
68400,4.094
68450,4.08543
68500,4.08684
68550,4.09791
68600,4.11515
68650,4.13642
68700,4.14788
68750,4.14946
68800,4.15103
68850,4.15383
68900,4.16222
68950,4.17392
69000,4.17896
69050,4.17752
69100,4.17565
69150,4.15887
69200,4.13299
69250,4.12056
69300,4.11755
69350,4.12423
69400,4.141
69450,4.16275
69500,4.17947
69550,4.19135
69600,4.19655
69650,4.18996
69700,4.17613
69750,4.16014
69800,4.14354
69850,4.14211
69900,4.15555
69950,4.168
70000,4.17788
70050,4.17774
70100,4.16874
70150,4.16389
70200,4.14992
70250,4.12684
70300,4.12098
70350,4.12214
70400,4.13427
70450,4.16916
70500,4.21165
70550,4.23651
70600,4.23433
70650,4.21626
70700,4.19076
70750,4.16377
70800,4.13961
70850,4.13213
70900,4.14401
70950,4.15862
71000,4.17034
71050,4.17615
71100,4.17744
71150,4.18634
71200,4.19729
71250,4.20054
71300,4.20555
71350,4.20734
71400,4.20971
71450,4.23084
71500,4.24986
71550,4.2544
71600,4.25573
71650,4.25479
71700,4.25059
71750,4.25384
71800,4.25668
71850,4.25324
71900,4.25918
71950,4.26061
72000,4.26009
72050,4.26765
72100,4.27081
72150,4.2665
72200,4.26659
72250,4.26107
72300,4.25285
72350,4.25753
72400,4.25491
72450,4.25128
72500,4.24641
72550,4.24399
72600,4.26447
72650,4.28553
72700,4.29618
72750,4.29461
72800,4.28014
72850,4.27459
72900,4.27775
72950,4.27283
73000,4.2668
73050,4.26587
73100,4.26454
73150,4.27208
73200,4.28839
73250,4.30258
73300,4.31802
73350,4.32173
73400,4.31522
73450,4.30843
73500,4.30097
73550,4.28795
73600,4.26336
73650,4.23697
73700,4.2326
73750,4.24664
73800,4.26711
73850,4.28664
73900,4.29764
73950,4.31333
74000,4.30877
74050,4.28088
74100,4.26125
74150,4.25354
74200,4.25649
74250,4.27036
74300,4.28957
74350,4.29932
74400,4.3008
74450,4.29664
74500,4.28751
74550,4.28119
74600,4.26645
74650,4.25116
74700,4.25226
74750,4.26074
74800,4.28233
74850,4.3111
74900,4.32941
74950,4.33404
75000,4.31788
75050,4.28526
75100,4.25427
75150,4.23976
75200,4.24067
75250,4.25415
75300,4.27926
75350,4.30435
75400,4.31695
75450,4.32183
75500,4.31122
75550,4.28776
75600,4.26037
75650,4.23957
75700,4.24411
75750,4.26593
75800,4.29361
75850,4.32234
75900,4.34578
75950,4.3541
76000,4.34485
76050,4.31963
76100,4.30061
76150,4.3018
76200,4.31146
76250,4.32844
76300,4.34337
76350,4.35236
76400,4.3534
76450,4.35156
76500,4.34574
76550,4.33084
76600,4.33399
76650,4.35109
76700,4.36524
76750,4.36481
76800,4.34152
76850,4.32938
76900,4.32504
76950,4.33679
77000,4.36079
77050,4.37247
77100,4.38642
77150,4.3912
77200,4.37639
77250,4.36471
77300,4.3565
77350,4.34321
77400,4.33513
77450,4.33646
77500,4.34466
77550,4.35604
77600,4.36269
77650,4.35722
77700,4.34493
77750,4.34224
77800,4.3423
77850,4.33769
77900,4.34357
77950,4.35714
78000,4.36345
78050,4.36147
78100,4.35261
78150,4.33807
78200,4.31954
78250,4.31567
78300,4.33323
78350,4.35988
78400,4.38242
78450,4.39607
78500,4.40078
78550,4.39183
78600,4.38263
78650,4.37641
78700,4.36848
78750,4.35749
78800,4.34573
78850,4.34298
78900,4.34991
78950,4.35985
79000,4.37267
79050,4.37622
79100,4.37071
79150,4.36508
79200,4.35737
79250,4.35627
79300,4.35774
79350,4.35163
79400,4.34826
79450,4.35255
79500,4.36815
79550,4.38539
79600,4.38419
79650,4.36842
79700,4.35062
79750,4.33385
79800,4.33045
79850,4.34459
79900,4.36638
79950,4.38656
80000,4.39603
80050,4.39108
80100,4.38282
80150,4.37386
80200,4.37061
80250,4.37111
80300,4.36883
80350,4.37922
80400,4.39005
80450,4.40361
80500,4.41485
80550,4.41547
80600,4.40727
80650,4.39132
80700,4.37961
80750,4.37124
80800,4.38529
80850,4.40609
80900,4.40356
80950,4.38908
81000,4.36774
81050,4.34119
81100,4.33318
81150,4.34772
81200,4.36881
81250,4.39281
81300,4.4013
81350,4.39767
81400,4.382
81450,4.36247
81500,4.36826
81550,4.38453
81600,4.40791
81650,4.43054
81700,4.42706
81750,4.4035
81800,4.36765
81850,4.33468
81900,4.32465
81950,4.34054
82000,4.36605
82050,4.39657
82100,4.42736
82150,4.43266
82200,4.42532
82250,4.40649
82300,4.38452
82350,4.38569
82400,4.39111
82450,4.40456
82500,4.42188
82550,4.43623
82600,4.43712
82650,4.4217
82700,4.41013
82750,4.39456
82800,4.38656
82850,4.38616
82900,4.39062
82950,4.40697
83000,4.42857
83050,4.43961
83100,4.44366
83150,4.43056
83200,4.39958
83250,4.37916
